"SCORE_ID","TABLE_NAME","SCHEMA_NAME","SCORE_DATE","OVERALL_SCORE","COMPLETENESS_SCORE","ACCURACY_SCORE","CONSISTENCY_SCORE","TIMELINESS_SCORE","RULES_PASSED","RULES_FAILED","TOTAL_RULES","TREND","CREATED_AT"
"DQS-001","CUSTOMERS","ANALYTICS","2025-01-01",92.5,98,90,88,94,18,2,20,"UP","2026-09-08 22:18:13.056"
"DQS-002","CUSTOMERS","ANALYTICS","2025-01-08",91,97.5,89,87.5,90,17,3,20,"DOWN","2026-09-08 22:18:13.056"
"DQS-003","CUSTOMERS","ANALYTICS","2025-01-15",72,85,68,65,70,14,6,20,"DOWN","2026-09-08 22:18:13.056"
"DQS-004","CUSTOMERS","ANALYTICS","2025-01-22",74.5,86,70,66,76,15,5,20,"UP","2026-09-08 22:18:13.056"
"DQS-005","POLICIES","ANALYTICS","2025-01-01",95,100,93,92,95,14,1,15,"STABLE","2026-09-08 22:18:13.056"
"DQS-006","POLICIES","ANALYTICS","2025-01-08",94.5,100,92.5,91,94.5,14,1,15,"STABLE","2026-09-08 22:18:13.056"
"DQS-007","POLICIES","ANALYTICS","2025-01-15",88,98,85,82,87,12,3,15,"DOWN","2026-09-08 22:18:13.056"
"DQS-008","POLICIES","ANALYTICS","2025-01-22",90,99,87,85,89,13,2,15,"UP","2026-09-08 22:18:13.056"
"DQS-009","CLAIMS","ANALYTICS","2025-01-01",89,95,87,85,89,11,2,13,"STABLE","2026-09-08 22:18:13.056"
"DQS-010","CLAIMS","ANALYTICS","2025-01-08",86.5,94,84,82,86,10,3,13,"DOWN","2026-09-08 22:18:13.056"
"DQS-011","CLAIMS","ANALYTICS","2025-01-15",83,92,80,78,82,9,4,13,"DOWN","2026-09-08 22:18:13.056"
"DQS-012","CLAIMS","ANALYTICS","2025-01-22",85,93,82,80.5,84.5,10,3,13,"UP","2026-09-08 22:18:13.056"
"DQS-013","BILLING","ANALYTICS","2025-01-01",96,100,95,94,95,7,0,7,"STABLE","2026-09-08 22:18:13.056"
"DQS-014","BILLING","ANALYTICS","2025-01-08",95.5,100,94,93,95,7,0,7,"STABLE","2026-09-08 22:18:13.056"
"DQS-015","BILLING","ANALYTICS","2025-01-15",91,98,88,87,91,6,1,7,"DOWN","2026-09-08 22:18:13.056"
"DQS-016","BILLING","ANALYTICS","2025-01-22",93,99,90,89,94,6,1,7,"UP","2026-09-08 22:18:13.056"
"DQS-017","AT_RISK_POLICIES","ANALYTICS","2025-01-01",90,96,88,86,90,8,1,9,"STABLE","2026-09-08 22:18:13.056"
"DQS-018","AT_RISK_POLICIES","ANALYTICS","2025-01-08",89,95,87,85,89,8,1,9,"DOWN","2026-09-08 22:18:13.056"
"DQS-019","AT_RISK_POLICIES","ANALYTICS","2025-01-15",85,92,83,80,85,7,2,9,"DOWN","2026-09-08 22:18:13.056"
"DQS-020","AT_RISK_POLICIES","ANALYTICS","2025-01-22",87,94,85,82,87,7,2,9,"UP","2026-09-08 22:18:13.056"
"DQS-021","AGENTS","ANALYTICS","2025-01-01",98,100,97,98,97,5,0,5,"STABLE","2026-09-08 22:18:13.056"
"DQS-022","AGENTS","ANALYTICS","2025-01-08",98,100,97,98,97,5,0,5,"STABLE","2026-09-08 22:18:13.056"
"DQS-023","AGENTS","ANALYTICS","2025-01-15",97.5,100,96,97,97,5,0,5,"STABLE","2026-09-08 22:18:13.056"
"DQS-024","AGENTS","ANALYTICS","2025-01-22",98,100,97,98,97,5,0,5,"STABLE","2026-09-08 22:18:13.056"
"DQS-025","POLICY_DOCUMENTS","DOCUMENTS","2025-01-01",94,98,92,91,95,3,0,3,"STABLE","2026-09-08 22:18:13.056"
"DQS-026","POLICY_DOCUMENTS","DOCUMENTS","2025-01-08",93.5,97,91,90,96,3,0,3,"STABLE","2026-09-08 22:18:13.056"
"DQS-027","POLICY_DOCUMENTS","DOCUMENTS","2025-01-15",90,95,87,85,93,2,1,3,"DOWN","2026-09-08 22:18:13.056"
"DQS-028","POLICY_DOCUMENTS","DOCUMENTS","2025-01-22",92,96,90,88,94,3,0,3,"UP","2026-09-08 22:18:13.056"
