"CHUNK_ID","DOCUMENT_ID","CHUNK_INDEX","CHUNK_TEXT","SECTION_TITLE","TOKEN_COUNT","CREATED_AT"
"CHK-00001","DOC-00001",1,"This Health Insurance Policy provides comprehensive medical coverage including hospitalization, outpatient care, prescription medications, and preventive services. Coverage begins on the effective date shown on the declarations page.","Coverage Overview",52,"2026-09-08 22:18:10.303"
"CHK-00002","DOC-00001",2,"EXCLUSIONS: Pre-existing conditions within the first 12 months. Cosmetic surgery unless medically necessary. Experimental treatments not approved by FDA. Self-inflicted injuries. Injuries during illegal activities.","Exclusion Clauses",58,"2026-09-08 22:18:10.303"
"CHK-00003","DOC-00001",3,"BENEFITS SCHEDULE: Hospitalization up to $500,000. Outpatient visits $100 copay. Prescriptions 80% after deductible. Preventive care 100% no copay. Mental health at parity.","Benefits Schedule",55,"2026-09-08 22:18:10.303"
"CHK-00004","DOC-00002",1,"This Automobile Insurance Policy provides liability, collision, and comprehensive coverage. Named insured and household members with valid licenses are covered.","Policy Coverage",48,"2026-09-08 22:18:10.303"
"CHK-00005","DOC-00002",2,"EXCLUSIONS: Racing or speed contests. Commercial use of personal vehicle. Intentional damage. Operating under influence. Normal wear and tear or mechanical breakdown.","Auto Exclusions",52,"2026-09-08 22:18:10.303"
"CHK-00006","DOC-00002",3,"LIABILITY LIMITS: Bodily injury $300K/$500K. Property damage $100K. Collision $1,000 deductible. Comprehensive $500 deductible. Uninsured motorist $100K.","Liability Limits",45,"2026-09-08 22:18:10.303"
"CHK-00007","DOC-00003",1,"Term Life Policy: Death benefit $1,000,000 during 20-year term. Guaranteed level premiums. Accelerated death benefit rider up to 50% upon terminal illness.","Life Coverage Terms",60,"2026-09-08 22:18:10.303"
"CHK-00008","DOC-00003",2,"EXCLUSIONS: Suicide within first two years. Death from felony commission. Hazardous activities without rider (skydiving, bungee jumping, rock climbing).","Life Exclusions",55,"2026-09-08 22:18:10.303"
"CHK-00009","DOC-00004",1,"DWELLING COVERAGE: $450,000 replacement cost. Includes structure, attached structures, building materials. Additional structures at 10% of dwelling coverage.","Dwelling Coverage",50,"2026-09-08 22:18:10.303"
"CHK-00010","DOC-00004",2,"EXCLUSIONS: Flood (separate policy required). Earthquake. Wear and tear. Insect or vermin infestation. Government actions. Nuclear hazard.","Home Exclusions",48,"2026-09-08 22:18:10.303"
"CHK-00011","DOC-00004",3,"PERSONAL PROPERTY: $225,000 actual cash value. Limits: Cash $200, Jewelry $1,500 unless scheduled, Electronics $2,500. Away from premises at 10%.","Personal Property",45,"2026-09-08 22:18:10.303"
"CHK-00012","DOC-00005",1,"GOLD PLAN: Deductible $500/$1,000. Out-of-pocket max $3,000/$6,000. Primary care $20. Specialist $30. Urgent $50. ER $150 waived if admitted.","Gold Plan Benefits",52,"2026-09-08 22:18:10.303"
"CHK-00013","DOC-00005",2,"GOLD PLAN EXCLUSIONS: Bariatric surgery BMI under 40. Non-emergency international care. Long-term custodial care. Not medically necessary. Infertility beyond 3 IVF cycles.","Gold Plan Exclusions",55,"2026-09-08 22:18:10.303"
"CHK-00014","DOC-00006",1,"FLEET COVERAGE: All vehicles on schedule covered. Combined single limit $1,000,000. Physical damage actual cash value, $2,500 deductible per vehicle.","Fleet Coverage",42,"2026-09-08 22:18:10.303"
"CHK-00015","DOC-00006",2,"FLEET EXCLUSIONS: Personal use. Vehicles not on schedule. Drivers under 21. Hazardous materials without endorsement. Rental to third parties.","Fleet Exclusions",48,"2026-09-08 22:18:10.303"
"CHK-00016","DOC-00007",1,"UMBRELLA: Excess coverage $2,000,000 per occurrence, $4,000,000 aggregate. Drops down as primary for uncovered claims, $10,000 self-insured retention.","Umbrella Terms",45,"2026-09-08 22:18:10.303"
"CHK-00017","DOC-00008",1,"DISABILITY: Monthly $8,000 after 90-day elimination. Benefits to age 65. Own occupation first 5 years, any occupation thereafter. COLA 3% annually.","Disability Benefits",50,"2026-09-08 22:18:10.303"
"CHK-00018","DOC-00008",2,"DISABILITY EXCLUSIONS: Self-inflicted injuries. Felony commission. Pre-existing conditions first 12 months. Incarceration. Normal pregnancy (complications covered).","Disability Exclusions",48,"2026-09-08 22:18:10.303"
"CHK-00019","DOC-00009",1,"CLAIM: April 28, 2024, 3:15 PM. 2022 Toyota Camry rear-ended at red light, Highway 101. Other vehicle 2020 Ford F-150. Police report #2024-05891.","Claim Narrative",55,"2026-09-08 22:18:10.303"
"CHK-00020","DOC-00010",1,"WORKERS COMP: Statutory benefits per state law. Employers liability $1M each accident, $1M disease per employee, $1M disease policy limit.","Workers Comp Coverage",48,"2026-09-08 22:18:10.303"
"CHK-00021","DOC-00001",4,"CLAIM FILING: Must file within 90 days. Pre-authorization required for inpatient, surgeries, advanced imaging. Emergency services no pre-auth needed.","Claim Procedures",42,"2026-09-08 22:18:10.303"
"CHK-00022","DOC-00002",4,"CLAIM REPORTING: Report accidents within 24 hours. Police report required for theft and injury. Must cooperate with investigation. Late reporting may cause denial.","Claim Reporting",38,"2026-09-08 22:18:10.303"
"CHK-00023","DOC-00003",3,"BENEFICIARY: May change anytime by written request. No beneficiary surviving = paid to estate. Contingent beneficiaries if primary predeceases.","Beneficiary Info",40,"2026-09-08 22:18:10.303"
"CHK-00024","DOC-00004",4,"LIABILITY: Personal liability $300,000 per occurrence. Medical payments to others $5,000. Worldwide coverage. Defense costs in addition to limits.","Home Liability",38,"2026-09-08 22:18:10.303"
"CHK-00025","DOC-00010",2,"WORKERS COMP EXCLUSIONS: Voluntary intoxication. Self-inflicted injury. Off-duty recreational activities. Independent contractor properly classified.","Workers Comp Exclusions",48,"2026-09-08 22:18:10.303"
