"RESULT_ID","RULE_ID","EXECUTION_DATE","TARGET_TABLE","TARGET_COLUMN","TOTAL_RECORDS","PASSED_RECORDS","FAILED_RECORDS","PASS_RATE","STATUS","ERROR_SAMPLE","CREATED_AT"
"RES-001","DQR-001","2025-01-15 08:00:00.000","CUSTOMERS","CUSTOMER_ID",200,200,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-002","DQR-005","2025-01-15 08:00:00.000","CUSTOMERS","EMAIL",200,192,8,96,"PASS","john.smith, no_at_sign.com, badformat","2026-09-08 22:18:44.555"
"RES-003","DQR-006","2025-01-15 08:00:00.000","CUSTOMERS","CREDIT_SCORE",200,195,5,97.5,"PASS","Values found: 275, 290, 855, 860, 870","2026-09-08 22:18:44.555"
"RES-004","DQR-011","2025-01-15 08:00:00.000","CUSTOMERS","STATE",200,180,20,90,"FAIL","Values: NYC, CAL, TEX, FLO (not 2-char codes)","2026-09-08 22:18:44.555"
"RES-005","DQR-012","2025-01-15 08:00:00.000","CUSTOMERS","PHONE",200,160,40,80,"FAIL","Formats: (555)123-4567, 5551234567, +1-555-1234","2026-09-08 22:18:44.555"
"RES-006","DQR-016","2025-01-15 08:00:00.000","CUSTOMERS","FIRST_NAME",200,198,2,99,"PASS","2 NULL values found in FIRST_NAME","2026-09-08 22:18:44.555"
"RES-007","DQR-026","2025-01-15 08:00:00.000","CUSTOMERS","DATE_OF_BIRTH",200,185,15,92.5,"FAIL","15 records with NULL date_of_birth","2026-09-08 22:18:44.555"
"RES-008","DQR-027","2025-01-15 08:00:00.000","CUSTOMERS","ZIP_CODE",200,170,30,85,"FAIL","Values: 1234, 123456, ABCDE, 0000","2026-09-08 22:18:44.555"
"RES-009","DQR-047","2025-01-15 08:00:00.000","CUSTOMERS","EMAIL",200,188,12,94,"FAIL","12 duplicate emails across different customer IDs","2026-09-08 22:18:44.555"
"RES-010","DQR-002","2025-01-15 08:05:00.000","POLICIES","POLICY_ID",300,300,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-011","DQR-003","2025-01-15 08:05:00.000","POLICIES","POLICY_TYPE",300,300,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-012","DQR-004","2025-01-15 08:05:00.000","POLICIES","PREMIUM_AMOUNT",300,298,2,99.3,"PASS","2 records with $0 premium","2026-09-08 22:18:44.555"
"RES-013","DQR-013","2025-01-15 08:05:00.000","POLICIES","COVERAGE_AMOUNT",300,285,15,95,"FAIL","15 policies where coverage <= premium","2026-09-08 22:18:44.555"
"RES-014","DQR-015","2025-01-15 08:05:00.000","POLICIES","END_DATE",300,295,5,98.3,"PASS","5 policies with end_date = start_date","2026-09-08 22:18:44.555"
