"POLICY_ID","CUSTOMER_ID","AGENT_ID","POLICY_TYPE","POLICY_STATUS","START_DATE","END_DATE","PREMIUM_AMOUNT","COVERAGE_AMOUNT","DEDUCTIBLE","LOSS_RATIO","PLAN_TIER","PAYMENT_FREQUENCY","AUTO_RENEW","CREATED_AT"
"POL-00000","CUST-00048","AGT-0003","Health","Active","2025-04-23","2027-08-28",5573.00,294821.00,3240.00,3,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00001","CUST-00055","AGT-0012","Auto","Active","2024-12-24","2026-12-31",3045.00,866612.00,3746.00,0,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00002","CUST-00091","AGT-0004","Life","Active","2025-03-08","2027-08-24",6231.00,101628.00,2245.00,1.8,"Gold","Annual",true,"2026-09-08 22:19:50.738"
"POL-00003","CUST-00103","AGT-0003","Home","Expired","2026-06-20","2027-09-06",1183.00,352444.00,1067.00,0,"Platinum","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00004","CUST-00075","AGT-0001","Health","Cancelled","2026-03-05","2027-02-13",10848.00,346445.00,1060.00,0,"Bronze","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00005","CUST-00044","AGT-0013","Auto","Active","2025-03-10","2027-03-28",10540.00,126070.00,860.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00006","CUST-00149","AGT-0011","Life","Active","2024-11-19","2027-07-26",4939.00,102870.00,3943.00,0,"Gold","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00007","CUST-00048","AGT-0009","Home","Active","2024-09-25","2027-01-04",2011.00,814307.00,3242.00,3,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00008","CUST-00051","AGT-0003","Health","Expired","2026-03-07","2027-04-15",1569.00,884600.00,811.00,0,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00009","CUST-00186","AGT-0003","Auto","Cancelled","2024-09-14","2027-03-22",5796.00,906327.00,2538.00,0,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00010","CUST-00165","AGT-0008","Life","Active","2025-01-05","2027-06-21",11559.00,108775.00,4742.00,0,"Gold","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00011","CUST-00058","AGT-0009","Home","Active","2025-02-03","2027-05-07",3402.00,815410.00,3896.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00012","CUST-00049","AGT-0016","Health","Active","2026-01-18","2027-04-12",6560.00,767716.00,419.00,1.37,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00013","CUST-00196","AGT-0015","Auto","Expired","2026-05-08","2027-01-05",2247.00,851926.00,4920.00,3,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00014","CUST-00008","AGT-0012","Life","Cancelled","2025-01-17","2027-01-06",10183.00,808549.00,3774.00,0,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00015","CUST-00045","AGT-0002","Home","Active","2025-11-03","2027-01-03",4738.00,501479.00,2485.00,3,"Platinum","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00016","CUST-00145","AGT-0005","Health","Active","2025-12-12","2026-10-10",1040.00,936983.00,4141.00,0,"Bronze","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00017","CUST-00101","AGT-0019","Auto","Active","2025-06-07","2027-03-27",10501.00,187666.00,3657.00,3,"Silver","Annual",true,"2026-09-08 22:19:50.738"
