"RULE_ID","RULE_NAME","RULE_DESCRIPTION","TARGET_TABLE","TARGET_COLUMN","RULE_TYPE","RULE_EXPRESSION","SEVERITY","IS_CRITICAL","THRESHOLD_PCT","ACTIVE_FLAG","CREATED_AT"
"DQR-001","NOT_NULL_CUSTOMER_ID","Customer ID must not be null","CUSTOMERS","CUSTOMER_ID","Completeness","CUSTOMER_ID IS NOT NULL","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-002","NOT_NULL_POLICY_ID","Policy ID must not be null","POLICIES","POLICY_ID","Completeness","POLICY_ID IS NOT NULL","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-003","VALID_POLICY_TYPE","Policy type must be Health/Auto/Life/Home","POLICIES","POLICY_TYPE","Validity","POLICY_TYPE IN ('Health','Auto','Life','Home')","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-004","PREMIUM_POSITIVE","Premium amount must be positive","POLICIES","PREMIUM_AMOUNT","Accuracy","PREMIUM_AMOUNT > 0","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-005","VALID_EMAIL_FORMAT","Email must contain @ symbol","CUSTOMERS","EMAIL","Format","EMAIL LIKE '%@%'","Medium",false,95,true,"2026-09-08 22:18:11.817"
"DQR-006","VALID_CREDIT_SCORE","Credit score between 300-850","CUSTOMERS","CREDIT_SCORE","Range","CREDIT_SCORE BETWEEN 300 AND 850","High",false,99,true,"2026-09-08 22:18:11.817"
"DQR-007","CLAIM_AMOUNT_POSITIVE","Claim amount must be positive","CLAIMS","CLAIM_AMOUNT","Accuracy","CLAIM_AMOUNT > 0","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-008","VALID_CLAIM_STATUS","Claim status must be valid enum","CLAIMS","CLAIM_STATUS","Validity","CLAIM_STATUS IN ('Open','Under Investigation','Approved','Closed','Denied','Escalated')","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-009","RESOLUTION_DATE_LOGIC","Resolution date after claim date","CLAIMS","RESOLUTION_DATE","Consistency","RESOLUTION_DATE IS NULL OR RESOLUTION_DATE >= CLAIM_DATE","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-010","NOT_NULL_CLAIM_DATE","Claim date must not be null","CLAIMS","CLAIM_DATE","Completeness","CLAIM_DATE IS NOT NULL","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-011","VALID_STATE_CODE","State code must be 2 characters","CUSTOMERS","STATE","Format","LENGTH(STATE) = 2","Medium",false,98,true,"2026-09-08 22:18:11.817"
"DQR-012","VALID_PHONE_FORMAT","Phone must match pattern","CUSTOMERS","PHONE","Format","PHONE LIKE '555-%'","Low",false,90,true,"2026-09-08 22:18:11.817"
"DQR-013","COVERAGE_GT_PREMIUM","Coverage must exceed premium","POLICIES","COVERAGE_AMOUNT","Consistency","COVERAGE_AMOUNT > PREMIUM_AMOUNT","High",true,99,true,"2026-09-08 22:18:11.817"
"DQR-014","VALID_LOSS_RATIO","Loss ratio between 0 and 1","POLICIES","LOSS_RATIO","Range","LOSS_RATIO BETWEEN 0 AND 1","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-015","END_AFTER_START","Policy end date after start date","POLICIES","END_DATE","Consistency","END_DATE > START_DATE","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-016","NOT_NULL_FIRST_NAME","First name must not be null","CUSTOMERS","FIRST_NAME","Completeness","FIRST_NAME IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-017","NOT_NULL_LAST_NAME","Last name must not be null","CUSTOMERS","LAST_NAME","Completeness","LAST_NAME IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-018","VALID_GENDER","Gender must be Male/Female","CUSTOMERS","GENDER","Validity","GENDER IN ('Male','Female')","Low",false,100,true,"2026-09-08 22:18:11.817"
"DQR-019","VALID_RISK_TIER","Risk tier must be valid category","CUSTOMERS","RISK_TIER","Validity","RISK_TIER IN ('Low','Medium','High','Very High')","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-020","FRAUD_SCORE_RANGE","Fraud score between 0 and 1","CLAIMS","FRAUD_SCORE","Range","FRAUD_SCORE BETWEEN 0 AND 1","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-021","NOT_NULL_AGENT_NAME","Agent name must not be null","AGENTS","AGENT_NAME","Completeness","AGENT_NAME IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-022","VALID_AGENT_RATING","Performance rating 1-5","AGENTS","PERFORMANCE_RATING","Range","PERFORMANCE_RATING BETWEEN 1 AND 5","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-023","AMOUNT_DUE_POSITIVE","Billing amount must be positive","BILLING","AMOUNT_DUE","Accuracy","AMOUNT_DUE > 0","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-024","VALID_PAYMENT_STATUS","Payment status must be valid","BILLING","PAYMENT_STATUS","Validity","PAYMENT_STATUS IN ('Paid','Overdue','Pending')","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-025","DUE_DATE_AFTER_INVOICE","Due date after invoice date","BILLING","DUE_DATE","Consistency","DUE_DATE >= INVOICE_DATE","High",true,98,true,"2026-09-08 22:18:11.817"
"DQR-026","NOT_NULL_DOB","Date of birth must not be null","CUSTOMERS","DATE_OF_BIRTH","Completeness","DATE_OF_BIRTH IS NOT NULL","High",false,99,true,"2026-09-08 22:18:11.817"
"DQR-027","VALID_ZIP_CODE","Zip code must be 5 digits","CUSTOMERS","ZIP_CODE","Format","LENGTH(ZIP_CODE) = 5","Medium",false,95,true,"2026-09-08 22:18:11.817"
"DQR-028","RISK_SCORE_RANGE","Risk score between 0 and 1","AT_RISK_POLICIES","RISK_SCORE","Range","RISK_SCORE BETWEEN 0 AND 1","High",false,100,true,"2026-09-08 22:18:11.817"
