"DOCUMENT_ID","POLICY_ID","DOCUMENT_TYPE","DOCUMENT_TITLE","FILE_NAME","FILE_FORMAT","UPLOAD_DATE","CONTENT_TEXT","EXCLUSION_CLAUSES","COVERAGE_SUMMARY","PAGE_COUNT","DOCUMENT_STATUS","CREATED_AT"
"DOC-00001","POL-00001","Policy Contract","Standard Health Insurance Policy","health_policy_001.pdf","PDF","2024-01-15","This Health Insurance Policy provides comprehensive medical coverage including hospitalization, outpatient care, prescription medications, and preventive services.","Pre-existing conditions within first 12 months. Cosmetic surgery unless medically necessary. Experimental treatments not approved by FDA. Self-inflicted injuries. Injuries from illegal activities.","Covers hospitalization up to $500K, outpatient visits $100 copay, prescriptions 80% coverage, preventive care 100% covered.",24,"Active","2026-09-08 22:18:08.643"
"DOC-00002","POL-00005","Policy Contract","Comprehensive Auto Insurance Policy","auto_policy_005.pdf","PDF","2024-02-20","This Automobile Insurance Policy provides liability, collision, and comprehensive coverage for the insured vehicle.","Racing or speed contests. Commercial use of personal vehicle. Intentional damage. Driving under influence of drugs/alcohol. Wear and tear or mechanical breakdown. Nuclear radiation damage.","Liability $300K/$500K, Collision with $1000 deductible, Comprehensive with $500 deductible, Uninsured motorist $100K.",18,"Active","2026-09-08 22:18:08.643"
"DOC-00003","POL-00010","Policy Contract","Term Life Insurance Policy","life_policy_010.pdf","PDF","2024-03-10","This Term Life Insurance Policy provides death benefit coverage for a specified term of 20 years.","Suicide within first 2 years. Death from illegal activities. Death while participating in hazardous sports without rider. Misrepresentation of health on application. War or acts of terrorism.","Death benefit $1M, Accidental death rider $500K additional, Terminal illness accelerated benefit up to 50%.",15,"Active","2026-09-08 22:18:08.643"
"DOC-00004","POL-00015","Policy Contract","Homeowners Insurance Policy","home_policy_015.pdf","PDF","2024-01-30","This Homeowners Insurance Policy protects the dwelling, personal property, and provides liability coverage.","Flood damage (separate policy required). Earthquake damage. Normal wear and deterioration. Insect or vermin damage. Government actions. Nuclear hazard. Intentional loss by insured.","Dwelling coverage $450K, Personal property $225K, Liability $300K, Additional living expenses $90K.",22,"Active","2026-09-08 22:18:08.643"
"DOC-00005","POL-00020","Policy Contract","Health Insurance Gold Plan","health_gold_020.pdf","PDF","2024-04-05","This Gold Plan Health Insurance provides enhanced coverage including lower deductibles and expanded network access.","Bariatric surgery for BMI under 40. Non-emergency international care. Long-term custodial care. Services not deemed medically necessary. Infertility treatments beyond 3 cycles IVF.","Deductible $500 individual, Out-of-pocket max $3000, Specialist visits $30 copay, ER $150 copay, Mental health covered at parity.",28,"Active","2026-09-08 22:18:08.643"
"DOC-00006","POL-00025","Policy Contract","Commercial Auto Fleet Policy","fleet_policy_025.pdf","PDF","2024-02-28","This Commercial Auto Fleet Policy covers multiple vehicles registered under the business entity.","Personal use of fleet vehicles. Vehicles not listed on schedule. Drivers under age 21. Transport of hazardous materials without endorsement. Rental or leasing to third parties.","Fleet liability $1M combined single limit, Physical damage actual cash value, Hired/non-owned auto $500K, Cargo coverage $100K.",20,"Active","2026-09-08 22:18:08.643"
"DOC-00007","POL-00030","Endorsement","Umbrella Liability Endorsement","umbrella_030.pdf","PDF","2024-03-22","This Umbrella Liability Endorsement provides excess liability coverage above the limits of underlying policies.","Professional liability. Workers compensation. Contractual liability assumed prior to policy inception. Aircraft or watercraft over 50 feet. Punitive damages where prohibited by law.","Umbrella limit $2M per occurrence, $4M aggregate. Covers personal injury, property damage, and advertising injury.",8,"Active","2026-09-08 22:18:08.643"
"DOC-00008","POL-00035","Policy Contract","Disability Income Insurance","disability_035.pdf","PDF","2024-04-15","This Disability Income Insurance Policy provides monthly income replacement benefits when unable to perform occupation duties.","Self-inflicted injuries. Disability from commission of felony. Pre-existing conditions first 12 months. Disability during incarceration. Normal pregnancy (complications covered).","Monthly benefit $8,000, 90-day elimination period, Benefits payable to age 65, Own occupation definition first 5 years.",12,"Active","2026-09-08 22:18:08.643"
"DOC-00009","POL-00040","Claim Form","Auto Accident Claim Documentation","claim_form_040.pdf","PDF","2024-05-01","Claim documentation for auto accident on Highway 101. Rear-end collision at traffic signal. Police report filed.","N/A - Claim Form","Claim amount $8,500 for vehicle repair. Rental car coverage during repair period up to 30 days at $50/day.",6,"Processed","2026-09-08 22:18:08.643"
"DOC-00010","POL-00045","Policy Contract","Workers Compensation Policy","workers_comp_045.pdf","PDF","2024-03-01","This Workers Compensation Insurance Policy provides coverage for employee injuries and illnesses arising out of employment.","Injuries from employee intoxication. Self-inflicted injuries. Injuries during voluntary recreational activities. Independent contractors (unless misclassified). Intentional acts by employer.","Coverage per state statutory requirements, Employers liability $1M each accident, $1M disease each employee, $1M disease policy limit.",16,"Active","2026-09-08 22:18:08.643"
