"HEALTH_ID","TABLE_NAME","COLUMN_NAME","CHECK_DATE","NULL_PCT","DISTINCT_COUNT","DUPLICATE_PCT","OUTLIER_COUNT","FORMAT_VIOLATION_COUNT","HEALTH_STATUS","SCORE","IS_CRITICAL","CREATED_AT"
"CH-001","CUSTOMERS","CUSTOMER_ID","2025-01-15",0,200,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-002","CUSTOMERS","EMAIL","2025-01-15",0,188,6,0,8,"Warning",88,false,"2026-09-08 22:18:45.557"
"CH-003","CUSTOMERS","CREDIT_SCORE","2025-01-15",0,150,0,5,0,"Warning",92,false,"2026-09-08 22:18:45.557"
"CH-004","CUSTOMERS","STATE","2025-01-15",0,12,0,0,20,"Critical",72,true,"2026-09-08 22:18:45.557"
"CH-005","CUSTOMERS","PHONE","2025-01-15",0,200,0,0,40,"Critical",65,false,"2026-09-08 22:18:45.557"
"CH-006","CUSTOMERS","ZIP_CODE","2025-01-15",0,180,0,0,30,"Critical",70,false,"2026-09-08 22:18:45.557"
"CH-007","CUSTOMERS","DATE_OF_BIRTH","2025-01-15",7.5,185,0,3,0,"Warning",85,false,"2026-09-08 22:18:45.557"
"CH-008","CUSTOMERS","FIRST_NAME","2025-01-15",1,45,0,0,0,"Healthy",98,true,"2026-09-08 22:18:45.557"
"CH-009","CUSTOMERS","LAST_NAME","2025-01-15",0,38,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-010","CUSTOMERS","RISK_TIER","2025-01-15",0,4,0,0,0,"Healthy",100,false,"2026-09-08 22:18:45.557"
"CH-011","POLICIES","POLICY_ID","2025-01-15",0,300,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-012","POLICIES","CUSTOMER_ID","2025-01-15",0,180,0,0,0,"Warning",93.3,true,"2026-09-08 22:18:45.557"
"CH-013","POLICIES","PREMIUM_AMOUNT","2025-01-15",0,285,0,2,0,"Healthy",99.3,true,"2026-09-08 22:18:45.557"
"CH-014","POLICIES","COVERAGE_AMOUNT","2025-01-15",0,290,0,15,0,"Warning",95,true,"2026-09-08 22:18:45.557"
"CH-015","POLICIES","LOSS_RATIO","2025-01-15",0,275,0,0,0,"Healthy",100,false,"2026-09-08 22:18:45.557"
"CH-016","CLAIMS","CLAIM_ID","2025-01-15",0,400,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-017","CLAIMS","POLICY_ID","2025-01-15",0,250,0,0,0,"Critical",90,true,"2026-09-08 22:18:45.557"
"CH-018","CLAIMS","CLAIM_AMOUNT","2025-01-15",0,380,0,8,0,"Healthy",98,true,"2026-09-08 22:18:45.557"
"CH-019","CLAIMS","APPROVED_AMOUNT","2025-01-15",45,120,0,30,0,"Critical",72.5,true,"2026-09-08 22:18:45.557"
"CH-020","CLAIMS","RESOLUTION_DATE","2025-01-15",50,85,0,0,15,"Warning",80,false,"2026-09-08 22:18:45.557"
"CH-021","CLAIMS","FRAUD_SCORE","2025-01-15",0,95,0,0,0,"Healthy",100,false,"2026-09-08 22:18:45.557"
"CH-022","BILLING","AMOUNT_DUE","2025-01-15",0,420,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-023","BILLING","DUE_DATE","2025-01-15",0,150,0,0,25,"Warning",95,true,"2026-09-08 22:18:45.557"
"CH-024","BILLING","OUTSTANDING_BALANCE","2025-01-15",0,380,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-025","AT_RISK_POLICIES","RISK_SCORE","2025-01-15",0,160,0,0,0,"Healthy",100,false,"2026-09-08 22:18:45.557"
"CH-026","AT_RISK_POLICIES","REVENUE_AT_RISK","2025-01-15",0,165,0,0,0,"Healthy",100,true,"2026-09-08 22:18:45.557"
"CH-027","AT_RISK_POLICIES","DAYS_SINCE_CONTACT","2025-01-15",0,100,0,10,0,"Warning",93.9,false,"2026-09-08 22:18:45.557"
"CH-028","AT_RISK_POLICIES","CHURN_PROBABILITY","2025-01-15",0,155,0,0,0,"Healthy",100,false,"2026-09-08 22:18:45.557"
