"CLAIM_ID","POLICY_ID","CUSTOMER_ID","CLAIM_DATE","CLAIM_TYPE","CLAIM_STATUS","CLAIM_AMOUNT","APPROVED_AMOUNT","FRAUD_FLAG","FRAUD_SCORE","ASSIGNED_ADJUSTER","RESOLUTION_DATE","DAYS_TO_RESOLVE","FRICTION_POINT","PRIORITY","CREATED_AT"
"CLM-00000","POL-00067","CUST-00111","2026-08-29","Accident","Open",57234.00,,false,0.19,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00001","POL-00069","CUST-00171","2026-04-05","Theft","Under Investigation",23754.00,,false,0.1,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00002","POL-00057","CUST-00166","2026-03-24","Medical","Approved",6510.00,46195.00,false,0.29,"Emily Rodriguez","2026-08-29",16,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00003","POL-00019","CUST-00070","2026-02-26","Property Damage","Closed",71667.00,15217.00,false,0.39,"David Kim","2026-09-01",12,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00004","POL-00165","CUST-00195","2026-02-13","Liability","Denied",46065.00,,false,0.2,"Jessica Williams","2026-08-18",31,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00005","POL-00116","CUST-00026","2025-11-03","Natural Disaster","Escalated",33001.00,,false,0.55,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00006","POL-00256","CUST-00076","2025-10-04","Accident","Open",39981.00,,false,0.04,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00007","POL-00203","CUST-00056","2025-11-28","Theft","Under Investigation",48739.00,,false,0.21,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00008","POL-00028","CUST-00193","2025-11-01","Medical","Approved",35641.00,54479.00,true,0.76,"Sarah Johnson","2026-09-06",33,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00009","POL-00243","CUST-00120","2026-04-29","Property Damage","Closed",37348.00,38438.00,false,0.45,"Michael Chen","2026-08-31",26,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00010","POL-00173","CUST-00115","2025-10-11","Liability","Denied",6891.00,,false,0.03,"Emily Rodriguez","2026-09-02",40,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00011","POL-00198","CUST-00088","2025-11-14","Natural Disaster","Escalated",71266.00,,true,0.89,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00012","POL-00161","CUST-00020","2025-10-08","Accident","Open",12498.00,,false,0.32,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00013","POL-00141","CUST-00120","2026-08-17","Theft","Under Investigation",23261.00,,false,0.52,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00014","POL-00015","CUST-00091","2025-10-25","Medical","Approved",16711.00,18084.00,false,0.07,"Amanda Martinez","2026-08-31",14,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00015","POL-00120","CUST-00007","2025-12-05","Property Damage","Closed",46258.00,17717.00,false,0.36,"Christopher Lee","2026-08-15",34,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00016","POL-00292","CUST-00028","2026-05-16","Liability","Denied",24739.00,,false,0.32,"Sarah Johnson","2026-08-30",17,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00017","POL-00038","CUST-00081","2026-06-21","Natural Disaster","Escalated",49001.00,,false,0.36,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00018","POL-00127","CUST-00053","2026-01-20","Accident","Open",44992.00,,false,0.52,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00019","POL-00273","CUST-00119","2026-07-31","Theft","Under Investigation",22021.00,,false,0.55,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00020","POL-00033","CUST-00122","2026-04-03","Medical","Approved",27991.00,45491.00,false,0.28,"Jessica Williams","2026-08-14",23,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00021","POL-00125","CUST-00138","2026-03-21","Property Damage","Closed",23883.00,525.00,false,0.49,"Robert Taylor","2026-08-26",1,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00022","POL-00061","CUST-00137","2026-05-19","Liability","Denied",42140.00,,false,0.53,"Amanda Martinez","2026-08-11",20,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00023","POL-00223","CUST-00149","2026-07-23","Natural Disaster","Escalated",38658.00,,false,0.24,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00024","POL-00177","CUST-00054","2025-10-26","Accident","Open",68604.00,,false,0.11,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00025","POL-00218","CUST-00030","2025-09-27","Theft","Under Investigation",63510.00,,false,0.05,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00026","POL-00221","CUST-00095","2026-07-07","Medical","Approved",3596.00,1633.00,false,0.5,"Emily Rodriguez","2026-08-16",12,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00027","POL-00025","CUST-00123","2026-03-12","Property Damage","Closed",30629.00,31224.00,false,0.54,"David Kim","2026-08-13",13,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00028","POL-00200","CUST-00068","2026-01-30","Liability","Denied",38445.00,,false,0.28,"Jessica Williams","2026-09-04",25,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00029","POL-00152","CUST-00156","2025-12-14","Natural Disaster","Escalated",38997.00,,false,0.26,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00030","POL-00171","CUST-00021","2025-12-28","Accident","Open",41987.00,,false,0.37,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00031","POL-00210","CUST-00073","2025-12-28","Theft","Under Investigation",48369.00,,false,0.37,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00032","POL-00281","CUST-00181","2026-08-07","Medical","Approved",31537.00,11354.00,false,0.13,"Sarah Johnson","2026-08-18",37,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00033","POL-00070","CUST-00033","2026-08-06","Property Damage","Closed",22011.00,54983.00,false,0.55,"Michael Chen","2026-09-06",13,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00034","POL-00085","CUST-00143","2026-04-16","Liability","Denied",66946.00,,false,0.28,"Emily Rodriguez","2026-09-05",42,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00035","POL-00220","CUST-00196","2026-06-28","Natural Disaster","Escalated",14062.00,,false,0.08,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00036","POL-00173","CUST-00007","2026-02-09","Accident","Open",24281.00,,false,0.32,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00037","POL-00090","CUST-00033","2025-10-03","Theft","Under Investigation",14355.00,,true,0.97,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00038","POL-00118","CUST-00143","2026-07-06","Medical","Approved",43698.00,46544.00,false,0.22,"Amanda Martinez","2026-08-31",22,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00039","POL-00218","CUST-00170","2026-08-18","Property Damage","Closed",45142.00,31029.00,false,0.26,"Christopher Lee","2026-08-10",6,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00040","POL-00284","CUST-00139","2025-09-21","Liability","Denied",24590.00,,false,0.02,"Sarah Johnson","2026-09-04",4,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00041","POL-00189","CUST-00094","2026-01-09","Natural Disaster","Escalated",13591.00,,true,0.76,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00042","POL-00089","CUST-00058","2025-09-13","Accident","Open",16527.00,,false,0.51,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00043","POL-00062","CUST-00045","2026-07-24","Theft","Under Investigation",18479.00,,true,0.94,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00044","POL-00179","CUST-00199","2026-04-08","Medical","Approved",49592.00,35354.00,true,0.85,"Jessica Williams","2026-08-11",24,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00045","POL-00293","CUST-00159","2025-11-17","Property Damage","Closed",22300.00,43213.00,false,0.51,"Robert Taylor","2026-08-10",43,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00046","POL-00185","CUST-00066","2026-08-30","Liability","Denied",16746.00,,false,0.14,"Amanda Martinez","2026-08-21",45,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00047","POL-00210","CUST-00011","2026-09-05","Natural Disaster","Escalated",62347.00,,true,0.79,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00048","POL-00277","CUST-00134","2026-07-29","Accident","Open",20585.00,,true,0.83,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00049","POL-00055","CUST-00067","2025-12-08","Theft","Under Investigation",26311.00,,false,0.32,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00050","POL-00175","CUST-00072","2026-04-24","Medical","Approved",23183.00,17708.00,true,0.67,"Emily Rodriguez","2026-08-23",32,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00051","POL-00148","CUST-00179","2025-12-10","Property Damage","Closed",18083.00,46474.00,false,0.53,"David Kim","2026-09-02",25,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00052","POL-00100","CUST-00129","2026-05-10","Liability","Denied",40869.00,,false,0.47,"Jessica Williams","2026-09-04",38,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
